"year","location","id","block","stand.age","treatment","fall","spring","summer","yield.kgperha","lodging","height_1","height_2","height_3","height_4","height_5","cumn","cumulative.grain.yield"
"2018","RSMT R-100","306","3","2","100 spring split",0,60,40,406,NA,NA,NA,NA,NA,NA,100,NA
"2018","RSMT R-100","307","3","2","120 fall",0,0,60,747.9,NA,NA,NA,NA,NA,NA,60,NA
"2018","RSMT R-100","308","3","2","80 fall",0,0,20,628.5,NA,NA,NA,NA,NA,NA,20,NA
"2018","RSMT R-100","309","3","2","120 spring split",0,60,60,244.2,NA,NA,NA,NA,NA,NA,120,NA
"2018","RSMT R-100","310","3","2","140 spring",0,60,80,447.2,NA,NA,NA,NA,NA,NA,140,NA
"2018","RSMT R-100","311","3","2","80 fall split",0,0,20,695.8,NA,NA,NA,NA,NA,NA,20,NA
"2018","RSMT R-100","312","3","2","80 spring split",0,60,20,680.6,NA,NA,NA,NA,NA,NA,80,NA
"2018","RSMT R-100","313","3","2","control",0,0,0,577.5,NA,NA,NA,NA,NA,NA,0,NA
"2018","RSMT R-100","314","3","2","100 fall",0,0,40,782.6,NA,NA,NA,NA,NA,NA,40,NA
"2018","RSMT R-100","315","3","2","60 spring",0,60,0,923.7,NA,NA,NA,NA,NA,NA,60,NA
"2018","RSMT R-100","316","3","2","140 spring split",0,60,80,669.7,NA,NA,NA,NA,NA,NA,140,NA
"2018","RSMT R-100","317","3","2","140 fall split",0,0,80,818.4,NA,NA,NA,NA,NA,NA,80,NA
"2018","RSMT R-100","318","3","2","100 spring",0,60,40,665.4,NA,NA,NA,NA,NA,NA,100,NA
"2019","RSMT R-100","101","1","3","100 fall",60,0,40,408.2,"2","148","154","160","163","165",100,NA
"2019","RSMT R-100","102","1","3","120 fall",60,0,60,189.6,"4","152","169","157","153","149",120,NA
"2019","RSMT R-100","103","1","3","80 fall split",60,0,20,138.2,"1","159","139","146","158","145",80,NA
"2019","RSMT R-100","104","1","3","100 spring",0,60,40,202.5,"3","141","146","139","159","165",100,NA
"2019","RSMT R-100","105","1","3","80 spring",0,60,20,167.1,"0","151","137","156","172","170",80,NA
"2019","RSMT R-100","106","1","3","120 spring split",0,60,60,270,"1","150","155","144","146","160",120,NA
"2019","RSMT R-100","107","1","3","80 spring split",0,60,20,19.29,"9","154","160","155","123","154",80,NA
"2019","RSMT R-100","108","1","3","100 fall split",60,0,40,154.3,"6","157","135","156","147","153",100,NA
"2019","RSMT R-100","109","1","3","100 spring split",0,60,40,83.57,"7","145","152","153","117","139",100,NA
"2019","RSMT R-100","110","1","3","80 fall",60,0,20,122.1,"2","159","153","154","155","155",80,NA
"2019","RSMT R-100","111","1","3","140 fall split",60,0,80,93.22,"8","160","147","146","161","148",140,NA
"2019","RSMT R-100","112","1","3","140 spring split",0,60,80,372.9,"7","164","144","136","154","137",140,NA
"2019","RSMT R-100","113","1","3","140 spring",0,60,80,19.29,"10","153","157","131","143","169",140,NA
"2019","RSMT R-100","114","1","3","120 fall split",60,0,60,25.72,"9","158","146","117","159","158",120,NA
"2019","RSMT R-100","115","1","3","60 fall",60,0,0,61.07,"4","165","155","162","150","166",60,NA
"2019","RSMT R-100","116","1","3","control",0,0,0,260.4,"1","164","175","156","140","139",0,NA
"2019","RSMT R-100","117","1","3","60 spring",0,60,0,270,"8","156","146","158","142","154",60,NA
"2019","RSMT R-100","118","1","3","120 spring",0,60,60,228.2,"8","148","153","135","159","150",120,NA
"2019","RSMT R-100","201","2","3","control",0,0,0,318.2,"0","163","147","161","154","148",0,NA
"2019","RSMT R-100","202","2","3","80 spring split",0,60,20,22.5,"8","153","147","145","144","149",80,NA
"2019","RSMT R-100","203","2","3","80 fall split",60,0,20,80.36,"8","147","149","151","159","158",80,NA
"2019","RSMT R-100","204","2","3","100 spring",0,60,40,35.36,"10","161","154","140","144","169",100,NA
"2019","RSMT R-100","205","2","3","80 spring",0,60,20,64.29,"9","138","152","158","135","145",80,NA
"2019","RSMT R-100","206","2","3","100 spring split",0,60,40,48.22,"10","149","158","148","139","141",100,NA
"2019","RSMT R-100","207","2","3","80 fall",60,0,20,54.64,"10","156","152","156","151","146",80,NA
"2019","RSMT R-100","208","2","3","120 spring",0,60,60,25.72,"10","128","139","154","123","137",120,NA
"2019","RSMT R-100","209","2","3","140 spring",0,60,80,28.93,"10","146","140","139","130","149",140,NA
"2019","RSMT R-100","210","2","3","120 fall",60,0,60,57.86,"9","153","164","155","135","151",120,NA
"2019","RSMT R-100","211","2","3","140 spring split",0,60,80,48.22,"9","136","161","162","163","151",140,NA
"2019","RSMT R-100","212","2","3","100 fall split",60,0,40,6.429,"9","158","143","138","125","116",100,NA
"2019","RSMT R-100","213","2","3","100 fall",60,0,40,16.07,"6","171","152","159","146","141",100,NA
"2019","RSMT R-100","214","2","3","120 fall split",60,0,60,35.36,"7","145","175","149","143","160",120,NA
"2019","RSMT R-100","215","2","3","140 fall split",60,0,80,57.86,"10","140","131","130","137","145",140,NA
"2019","RSMT R-100","216","2","3","60 fall",60,0,0,86.79,"6","174","164","154","140","143",60,NA
"2019","RSMT R-100","217","2","3","120 spring split",0,60,60,70.72,"9","150","151","152","150","165",120,NA
"2019","RSMT R-100","218","2","3","60 spring",0,60,0,125.4,"7","167","144","167","138","163",60,NA
"2019","RSMT R-100","301","3","3","100 fall split",60,0,40,70.72,"10","143","164","162","137","175",100,NA
"2019","RSMT R-100","302","3","3","80 spring",0,60,20,38.57,"10","138","152","139","151","154",80,NA
"2019","RSMT R-100","303","3","3","120 fall split",60,0,60,86.79,"10","130","140","123","159","125",120,NA
"2019","RSMT R-100","304","3","3","120 spring",0,60,60,61.07,"10","124","126","111","142","136",120,NA
"2019","RSMT R-100","305","3","3","60 fall",60,0,0,106.1,"9","146","154","149","122","133",60,NA
"2019","RSMT R-100","306","3","3","100 spring split",0,60,40,96.43,"10","150","157","144","151","139",100,NA
"2019","RSMT R-100","307","3","3","120 fall",60,0,60,64.29,"8","159","137","158","163","156",120,NA
"2019","RSMT R-100","308","3","3","80 fall",60,0,20,86.79,"9","175","174","145","152","150",80,NA
"2019","RSMT R-100","309","3","3","120 spring split",0,60,60,57.86,"10","152","119","152","140","132",120,NA
"2019","RSMT R-100","310","3","3","140 spring",0,60,80,196.1,"10","140","143","117","123","150",140,NA
"2019","RSMT R-100","311","3","3","80 fall split",60,0,20,19.29,"9","146","174","151","160","144",80,NA
"2019","RSMT R-100","312","3","3","80 spring split",0,60,20,25.72,"9","145","123","162","137","101",80,NA
"2019","RSMT R-100","313","3","3","control",0,0,0,282.9,"0","165","156","169","154","146",0,NA
"2019","RSMT R-100","314","3","3","100 fall",60,0,40,67.5,"9","153","147","152","153","158",100,NA
"2019","RSMT R-100","315","3","3","60 spring",0,60,0,112.5,"9","145","164","167","155","140",60,NA
"2019","RSMT R-100","316","3","3","140 spring split",0,60,80,32.14,"9","153","149","137","148","122",140,NA
